name,organization,releaseDate,qubitCount,externalLink,description
Canary,IBM,2017-01,5,"[{""title"":""ibm.com"", ""url"":""https://quantum.cloud.ibm.com/docs/en/guides/processor-types""}]",
Falcon,IBM,2020-02,27,"[{""title"":""ibm.com"", ""url"":""https://quantum.cloud.ibm.com/docs/en/guides/processor-types""}]",
Hummingbird,IBM,2019-09-18,53,"[{""title"":""ibm.com"",""url"":""https://web.archive.org/web/20241229122249/https://newsroom.ibm.com/2019-09-18-IBM-Opens-Quantum-Computation-Center-in-New-York-Brings-Worlds-Largest-Fleet-of-Quantum-Computing-Systems-Online-Unveils-New-53-Qubit-Quantum-System-for-Broad-Use""}]",
Hummingbird R2,IBM,2020-08,65,"[{""title"":""ibm.com"", ""url"":""https://quantum.cloud.ibm.com/docs/en/guides/processor-types""}]",
Eagle,IBM,2021-11-16,127,"[{""title"":""ibm.com"",""url"":""https://www.ibm.com/quantum/blog/127-qubit-quantum-processor-eagle""}]",
Osprey,IBM,2022-11-09,433,"[{""title"":""ibm.com"",""url"":""https://newsroom.ibm.com/2022-11-09-IBM-Unveils-400-Qubit-Plus-Quantum-Processor-and-Next-Generation-IBM-Quantum-System-Two""}]",
Egret,,2022-12,33,"[{""title"":""ibm.com"", ""url"":""https://quantum.cloud.ibm.com/docs/en/guides/processor-types""}]",
Heron,IBM,2023-12-04,133,"[{""title"":""ibm.com"",""url"":""https://www.ibm.com/quantum/blog/quantum-roadmap-2033""}]",
Condor,IBM,2023-12-04,1121,"[{""title"":""ibm.com"",""url"":""https://www.ibm.com/quantum/blog/quantum-roadmap-2033""}]",
Heron R2,IBM,2024-11-13,156,"[{""title"":""IBM Heron R2"",""url"":""https://newsroom.ibm.com/2024-11-13-ibm-launches-its-most-advanced-quantum-computers%2C-fueling-new-scientific-value-and-progress-towards-quantum-advantage""}]",
Bristlecone,Google,2018-03-05,72,"[{""title"":""google.com"", ""url"":""https://research.google/blog/a-preview-of-bristlecone-googles-new-quantum-processor/""}]",
Sycamore,Google,2019-10-23,53,"[{""title"":""paper"", ""url"":""https://www.nature.com/articles/s41586-019-1666-5""}]",
Willow,Google,2024-12-09,105,"[{""title"":""google.com"", ""url"":""https://blog.google/technology/research/google-willow-quantum-chip/""}]",
Majorana 1,Microsoft,2025-02-19,8,"[{""title"":""paper"", ""url"":""https://www.nature.com/articles/s41586-024-08445-2""}]",
Ocelot,Amazon,2025-02-27,5,"[{""title"":""amazon.com"", ""url"":""https://www.aboutamazon.com/news/aws/quantum-computing-aws-ocelot-chip""}]",a new quantum computing chip that can reduce the costs of implementing quantum error correction
Neutral-Atom System,Atom Computing,2023-10-24,1180,"[{""title"":""atom-computing.com"", ""url"":""https://atom-computing.com/quantum-startup-atom-computing-first-to-exceed-1000-qubits/""}]",
28‑qubit System,Microsoft/Atom Computing,2024-11-18,28,"[{""title"":""microsoft.com"", ""url"": ""https://azure.microsoft.com/en-us/blog/quantum/2024/11/19/microsoft-and-atom-computing-offer-a-commercial-quantum-machine-with-the-largest-number-of-entangled-logical-qubits-on-record/""}, {""title"":""paper"", ""url"":""https://arxiv.org/abs/2411.11822""}]",entangled 24 logical qubits
50‑qubit System,IQM/VTT,2025-03-04,50,"[{""title"":""iqm.com"", ""url"":""https://meetiqm.com/press-releases/vtt-and-iqm-launch-first-50-qubit-quantum-computer-developed-in-europe/""}]",
Ankaa-2,Rigetti,2024-01,84,"[{""title"":""rigetti.com"", ""url"":""https://www.rigetti.com/news/rigetti-announces-public-availability-of-ankaa-2-system-with-a-2-5x-performance-improvement-compared-to-previous-qpus""}]",
Ankaa-3,Rigetti,2024-12-23,84,"[{""title"":""rigetti.com"", ""url"": ""https://investors.rigetti.com/news-releases/news-release-details/rigetti-computing-launches-84-qubit-ankaatm-3-system-achieves""}]",
Zuchongzhi 1.0,USTC,2021-05-06,62,"[{""title"":""postquantum.com"", ""url"":""https://postquantum.com/industry-news/zuchongzhi-1/""}, {""title"":""paper"", ""url"": ""https://www.science.org/doi/10.1126/science.abg7812""}]",
Zuchongzhi 2.1,USTC,2021-09,66,"[{""title"":""paper"", ""url"":""https://www.sciencedirect.com/science/article/pii/S2095927321006733""}]",
Zuchongzhi 3.0,USTC,2025-03-03,105,"[{""title"":""paper"", ""url"":""https://www.nature.com/nature-index/article/10.1103/physrevlett.134.090601""}]",
H1-1,Quantinuum,2020-10-29,10,"[{""title"":""honeywell.com"", ""url"":""https://www.honeywell.com/us/en/press/2020/10/honeywell-releases-next-generation-of-quantum-computer""}]","Honeywell's next-generation quantum computer, quantum volume 128 with trapped-ion technology"
H1-2,Quantinuum,2021-12-29,12,"[{""title"":""quantinuum.com"", ""url"":""https://www.quantinuum.com/blog/demonstrating-benefits-of-quantum-upgradable-design-strategy-system-model-h1-2-first-to-prove-2-048-quantum-volume""}]","Prove 2,048 Quantum Volume"
